sid,pl9_z_peak_abs,pl9_z_time_to_peak_s,pl9_z_p95_p5,pl9_z_jerk_int,pl9_pre_quiet_std,pl9_post_stable_std,pl9_rise_duration_s,pl9_shank_L_gyr_y_peak,pl9_shank_R_gyr_y_peak,pl9_shank_LR_asym,pl9_sternum_pitch_pkvel
NLS141,10.298320770263672,0.0,5.063837051391602,13288.0341796875,2.460987091064453,2.085192918777466,0.02,1.714161992073059,1.6439210176467896,0.0209169795106256,32.43408203125
NLS142,11.130205154418945,0.0,7.80220890045166,14076.236328125,1.8849257230758667,3.1693289279937744,0.11,2.591413974761963,3.2270119190216064,0.10923879527277706,94.07196044921875
NLS143,17.179004669189453,0.0,7.538797855377197,11790.158203125,1.0801303386688232,4.815276622772217,0.1,0.9276440143585205,1.3172290325164795,0.1735442657463499,90.66505432128906
NLS144,5.456401824951172,0.0,7.54962158203125,5237.73193359375,0.7850555777549744,1.485244631767273,0.17,1.9446059465408325,2.3263890743255615,0.08938971750839568,76.02577209472656
NLS146,25.307456970214844,0.0,7.498431205749512,11996.529296875,3.1120188236236572,4.087356090545654,0.02,0.5282670259475708,0.6267210245132446,0.08524236530761295,101.38511657714915
NLS147,8.495895385742188,0.0,5.844146728515625,10514.2060546875,0.5168875455856323,2.125741481781006,0.07,2.2503130435943604,1.2369290590286255,0.29059745900809203,97.33352661132812
NLS148,14.904909133911133,0.0,10.506142616271973,7723.26953125,2.3367598056793213,1.9846922159194946,0.01,1.0116970539093018,0.3041380047798157,0.5377258393681517,108.7860107421875
NLS149,8.77670955657959,0.0,4.65903902053833,16781.16015625,1.5965182781219482,2.1694915294647217,0.06,2.2565879821777344,4.5615010261535645,0.3380584652240384,35.240936279297586
NLS150,5.171907901763916,0.0,8.887385368347168,7907.533203125,0.8918328881263733,1.9034720659255981,0.03,1.4942690134048462,1.6954480409622192,0.06307110036949423,55.17120361328125
NLS151,3.5636699199676514,0.0,5.737838268280029,3643.933837890625,1.293555736541748,0.39446210861206055,0.83,2.7835679054260254,0.7212809920310974,0.5884094822123997,74.18174743652344
NLS152,18.588735580444336,0.0,9.620403289794922,14958.0048828125,3.6452815532684326,3.705026149749756,0.02,0.7722430229187012,0.867713987827301,0.058215493496184684,91.49589538574219
NLS153,12.208542823791504,0.0,5.5294036865234375,9504.671875,2.583202362060547,4.0751142501831055,0.06,1.0224970579147339,2.1013779640197754,0.34536610881149105,78.84902954101562
