item,variant,ccc_mean,ccc_std,mae_mean,n_subjects,error,null_scrambled_label_ccc,null_canary_feature_ccc,null_sid_shuffle_caches_ccc
12,mahalanobis_plus_v2,0.5478,0.012467825258106016,0.5498999999999999,94,,-0.02314056825885611,0.5597822568574885,0.5331059685223611
12,coherence_plus_mahalanobis_plus_v2,0.5678333333333333,0.03584357993033371,0.5323000000000001,94,,-0.07376338025954406,0.5766503068482273,0.5155375575518527
12,late_fusion_coh_mah_v2,0.5107,0.0072221880341071425,0.5561333333333334,94,,0.05779056658774768,0.4856643514313318,0.4965699538248422
14,coherence_only,0.17099999999999996,0.01151810169544733,0.6148666666666666,94,,-0.07470835238117837,0.1559867164337386,-0.14218958167878373
14,coherence_plus_v2,0.29596666666666666,0.022384568096992383,0.5746666666666667,94,,-0.19725837944024782,0.2350625874019831,0.2824777526571114
14,mahalanobis_only,0.2117,0.03104609476246571,0.6166666666666667,94,,0.0019103034129620074,0.1992355422784402,-0.07104956704734686
14,mahalanobis_plus_v2,0.3001,0.03547571939604138,0.5684666666666667,94,,-0.13098879141480718,0.28413833349895184,0.3614510659532253
14,coherence_plus_mahalanobis_plus_v2,0.27853333333333335,0.012730627984859542,0.5766666666666667,94,,-0.07932640641777493,0.2870512120186018,0.23680578364935473
14,late_fusion_coh_mah_v2,0.26919999999999994,0.0068837974016284515,0.5492333333333334,94,,-0.024321818471589256,0.25870351722125245,0.1288421886972843
18,coherence_only,0.1419,0.07198430384465769,1.1434,93,,-0.068937028859729,0.0758150976153816,0.17261069536478232
18,coherence_plus_v2,0.31273333333333336,0.03673747708025446,0.9962666666666667,93,,-0.046948911805182104,0.26336665775403784,0.33835122797996625
18,mahalanobis_only,0.1004,0.06663787711704708,1.1616,93,,-0.31129336705505667,0.14299992954696528,0.003253981914250127
18,mahalanobis_plus_v2,0.3526,0.046673618529814755,0.9585666666666667,93,,-0.01305292237196433,0.3214590723874633,0.2943652678231228
18,coherence_plus_mahalanobis_plus_v2,0.29373333333333335,0.0499952886669223,0.9866,93,,-0.06698491331804544,0.20996242194849318,0.2598856178448707
18,late_fusion_coh_mah_v2,0.1539,0.012241187306248796,1.0648,93,,0.09498258721966542,0.11316265544309072,0.17090739185904952
