sid,nl_i12_ap_lyap_mean,nl_i12_ap_lyap_std,nl_i12_ap_apen_mean,nl_i12_ap_apen_std,nl_i12_ap_freq_centroid_std_mean,nl_i12_ap_freq_centroid_std_std,nl_i12_ap_dom_freq_std_mean,nl_i12_ap_dom_freq_std_std,nl_i12_ap_freq_drift_slope_mean,nl_i12_ap_freq_drift_slope_std,nl_i12_ap_rqa_rr_mean,nl_i12_ap_rqa_rr_std,nl_i12_ap_rqa_det_mean,nl_i12_ap_rqa_det_std,nl_i12_ap_rqa_avgline_mean,nl_i12_ap_rqa_avgline_std,nl_i12_ap_rqa_lmax_mean,nl_i12_ap_rqa_lmax_std,nl_i12_ap_rqa_lam_mean,nl_i12_ap_rqa_lam_std,nl_i12_ap_rqa_tt_mean,nl_i12_ap_rqa_tt_std,nl_i12_ml_lyap_mean,nl_i12_ml_lyap_std,nl_i12_ml_apen_mean,nl_i12_ml_apen_std,nl_i12_ml_freq_centroid_std_mean,nl_i12_ml_freq_centroid_std_std,nl_i12_ml_dom_freq_std_mean,nl_i12_ml_dom_freq_std_std,nl_i12_ml_freq_drift_slope_mean,nl_i12_ml_freq_drift_slope_std,nl_i12_apen_ratio_ap_ml_mean,nl_i12_apen_ratio_ap_ml_std,nl_i10_ap_rqa_rr_mean,nl_i10_ap_rqa_rr_std,nl_i10_ap_rqa_det_mean,nl_i10_ap_rqa_det_std,nl_i10_ap_rqa_avgline_mean,nl_i10_ap_rqa_avgline_std,nl_i10_ap_rqa_lmax_mean,nl_i10_ap_rqa_lmax_std,nl_i10_ap_rqa_lam_mean,nl_i10_ap_rqa_lam_std,nl_i10_ap_rqa_tt_mean,nl_i10_ap_rqa_tt_std,nl_i10_ap_lyap_mean,nl_i10_ap_lyap_std,nl_i10_ap_mfdfa_h_q-3_mean,nl_i10_ap_mfdfa_h_q-3_std,nl_i10_ap_mfdfa_h_q3_mean,nl_i10_ap_mfdfa_h_q3_std,nl_i10_ap_mfdfa_width_mean,nl_i10_ap_mfdfa_width_std,nl_i10_ap_mfdfa_h_var_mean,nl_i10_ap_mfdfa_h_var_std,nl_i10_ml_rqa_rr_mean,nl_i10_ml_rqa_rr_std,nl_i10_ml_rqa_det_mean,nl_i10_ml_rqa_det_std,nl_i10_ml_rqa_avgline_mean,nl_i10_ml_rqa_avgline_std,nl_i10_ml_rqa_lmax_mean,nl_i10_ml_rqa_lmax_std,nl_i10_ml_rqa_lam_mean,nl_i10_ml_rqa_lam_std,nl_i10_ml_rqa_tt_mean,nl_i10_ml_rqa_tt_std,nl_i10_ml_lyap_mean,nl_i10_ml_lyap_std,nl_i10_n_strides_dfa_mean,nl_i10_n_strides_dfa_std
NLS188,0.039747426643032574,0.021201435002207985,0.22459045392984256,0.02191868717638097,2.692032530400944,1.019899065292887,2.0634373267797366,0.18018549609689594,-0.07431709414736268,0.021195454181299252,0.1,0.0,0.7125861685568157,0.13605070046697798,5.308460854043194,0.05674070211937554,139.0,55.0,0.7886657771847898,0.08363575717144761,6.131278137871579,0.1312781378715795,0.042890893601448585,0.020583957998431452,0.13234747610194253,0.046335890873690284,2.2215283370343486,1.3835820672331054,1.3846349936863498,0.5421545315554376,-0.04671032326574641,0.024136296644040735,2.000125080120313,0.8658741972102093,0.1,0.0,0.7332332666221926,0.11837966118043586,9.248894202291513,4.641264871289274,226.75,63.519190013727346,0.8140671558816989,0.08452457759721452,11.977258251496771,6.618561925651146,0.04014791571269682,0.012832497403533016,1.1809295456888793,0.08419345208214014,0.3255490411798191,0.45899053019178593,0.8553805045090604,0.37897382231720783,0.13969783962379423,0.10126114347442249,0.1,0.0,0.7971269735379142,0.06719436991945506,7.544232487102115,2.49103023346915,232.25,60.35882288447978,0.8584878808094285,0.052448430953011035,9.857265277713617,4.1957792564540926,0.053000851941614746,0.00934245822773912,0.0,0.0
NLS189,0.05336995080460688,0.010693700264346198,0.19829010147537168,0.0271827096006262,2.0481241961373406,0.8807160030308567,1.3242339593866614,0.5577926775389206,-0.044142885415094195,0.0025820628500787743,0.1,0.0,0.7237046920169001,0.07984434067155882,4.405026519500722,1.4504959072558241,143.5,127.5,0.7700756059595286,0.09594618634645319,4.534346463575187,1.4081889368154374,0.05181866680237717,0.02591694965201528,0.1989946427077644,0.03381387094814965,1.4126146438919176,0.6537645247035991,0.8348215793256502,0.30589320383132934,-0.01610292770828329,0.01647577167826241,1.0021850014996725,0.0336945990857736,0.1,0.0,0.8818145430286858,0.05960175405240716,15.543921838516466,10.694448588632437,302.25,103.38610883479463,0.9183222148098733,0.039586806558144144,19.577380986583453,14.2747108990629,0.06529409527185755,0.00866269897640284,1.368849860249659,0.13585174111723414,0.6211813056036402,0.09039062496082607,0.7476685546460189,0.11008169581861114,0.10006946054558896,0.03316404602747647,0.1,0.0,0.8655414720925061,0.06853740789270783,12.220901454083918,5.9744939066686635,308.25,104.2314132111812,0.9091750055592618,0.044517658227509714,16.151294014495548,8.468425703994086,0.06581995889346377,0.008129718401500811,0.0,0.0
NLS190,0.05134063988088404,0.02272189073381307,0.22963887266993424,0.10119389021596162,2.9682080892786247,2.0274041760418937,2.0460208015099077,0.8172703862068932,-0.010896321575659123,0.011606463472852355,0.1,0.0,0.5905492550589282,0.029126084056037338,3.664624282668521,1.030866719555648,70.5,56.5,0.6547520569268401,0.07911496553257724,4.176741806940629,1.3137087154523968,0.04172167340911721,0.015613865428568578,0.2931109734440536,0.1603227370109541,2.5923416214288153,1.7553692613909553,1.8277215414403476,0.31050027208044917,-0.023383465261412356,0.05018102890544168,0.8484542392805654,0.1188376376522598,0.1,0.0,0.8452079163887036,0.13140698387324462,15.13768313144533,8.011107064890908,243.0,93.55479677707605,0.8925283522348233,0.09250908148756735,21.595985074029485,13.342719832707145,0.05312750496022261,0.015835640413237914,1.307059111296948,0.1475689778470158,0.5195078924910166,0.014375127932932883,0.7875512188059314,0.1517736186336707,0.11488471689219731,0.04682505518197266,0.1,0.0,0.7778763620191238,0.0688830062890424,9.202595374380804,2.7994978919202254,243.5,83.47005451058482,0.8531887925283522,0.05312980035586121,12.26910213045958,4.2723617772628195,0.03864983677305709,0.023291110747131524,0.0,0.0
NLS191,0.052805708865425925,0.016732670016746963,0.2733332657951427,0.07554126888185123,2.1833027083422523,1.245557551397991,3.0241792050198892,1.2156013400493213,0.005689985987741852,0.01844542547316146,0.1,0.0,0.705794974427396,0.05702468312208142,5.030851700062138,1.2699430476918359,130.5,74.5,0.7605537024683122,0.013362241494329519,5.512289436143587,1.1878106716648222,0.04505134386367595,0.0028709702786608726,0.21020843351907414,0.09129794471388009,2.4879036498507054,1.2828240704303282,1.792733376465951,0.11796605784585534,0.0024077023532707454,0.015604133478739705,1.410236894181029,0.25313190449009293,0.1,0.0,0.796039581943518,0.10380687132365514,8.702174239656285,1.5582119723464272,206.25,45.36174048689049,0.8632488325550367,0.061808253531398225,10.592118285909134,2.365359189167296,0.05099011827785016,0.011523610007620248,1.166653780185587,0.10618593054986866,0.503823537017642,0.1325982864116804,0.6628302431679447,0.09315674357669652,0.08105375597371645,0.025589829313430526,0.1,0.0,0.8476784523015344,0.07472182159881588,8.602142887944645,1.0797934920156147,219.0,57.175169435691224,0.8984467422726262,0.04455944449397222,11.561183800460443,2.525497381211448,0.050769815180725555,0.010068870185975779,0.0,0.0
NLS192,0.05375627180714561,0.007165787982154375,0.23089549060361397,0.04454357166985505,1.6738313422878521,0.4234579359049895,1.7973473203998664,0.8195888134892337,-0.03293011425437959,0.005302530878011899,0.1,0.0,0.6459195018901489,0.11428507894151657,3.9176931255086727,0.08719832450472875,105.5,51.5,0.7236891260840561,0.06104736490993995,4.4660316557948985,0.22214681561883953,0.0577329537508552,0.007722673518174697,0.17420018818966765,0.09414469436697724,1.7875311403698233,1.1774848976959826,2.826226887111886,0.3377590296790829,-0.029708832181913274,0.01374882802739505,1.677110532529034,0.6506737335514101,0.1,0.0,0.7115788303313321,0.11395490350598081,7.823598961357089,2.5391181483003322,191.5,55.66641716510952,0.7974794307315988,0.08324688270694408,9.916378213887125,3.291626385286537,0.05306158823916084,0.011637559781180801,1.1519634381196784,0.18411220704306216,0.5320363154522237,0.08707564000882646,0.6199271226674546,0.10580299485978459,0.06702721801414228,0.027448602569779552,0.1,0.0,0.7074116077384923,0.09858154433716344,6.592733126921203,1.6827409990137423,194.0,50.12484413940855,0.7900967311541027,0.0697398350861541,8.807743429426932,2.7534479172781805,0.049046852627648484,0.01771787721172986,0.0,0.0
NLS194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
NLS195,0.0567510794668475,0.009162183238291422,0.3194835041837488,0.07181297497299996,1.8013474608675528,1.187998811707291,1.8279953510594216,0.050356510515001784,-0.012232094746419757,0.012433514901023703,0.1,0.0,0.7224371803424505,0.08273960418056481,4.637739060106678,0.8275698539445424,104.0,65.0,0.7730776072937514,0.03925061151879028,4.756119689691468,0.8506287557195213,0.06356026551343111,0.009686247091086793,0.26563370132369224,0.06938502722790107,1.6826804051364954,1.1099743439523204,2.0124693701990077,0.07801268933316718,0.001916068112253675,0.021231195265057755,1.2150039280074485,0.04702003394736276,0.1,0.0,0.8210829441850123,0.11817560919517182,12.400329617041045,8.738862038844951,190.25,142.3224771425793,0.8605748276628864,0.09259079548246159,15.76923642129529,11.753127612960439,0.04200427059962907,0.026507487130500034,1.0486735454656924,0.31249324070538076,0.5353558941244161,0.12698802927627897,0.5133176513412763,0.2136688572357696,0.05257235042847364,0.05000091202184522,0.1,0.0,0.8479408494551923,0.08546396024857439,11.312791114356743,6.637114299724968,229.75,111.85118461598876,0.8879664220591506,0.07128269603135289,14.624467312144501,9.26804350197048,0.0646879670920929,0.015521743615375484,0.0,0.0
NLS196,0.05806922238734355,0.012912731689148176,0.42930056793379423,0.07899702214922899,1.5154204635252433,0.0729300538326364,2.1061318859565255,0.10347771492868474,0.009022582369932813,0.011623632466382011,0.1,0.0,0.7301489882143651,0.05998665777184786,4.331563834001039,0.020337008640544774,108.0,31.0,0.7911296419835446,0.015083388925950625,4.85832162903123,0.21690654723843839,0.044035186661474136,0.016090218862909393,0.3455279937540114,0.002209498679501265,1.6717402590512276,0.3498654108476005,1.0488381970538294,0.14173789796828462,0.027109654443910627,0.019679094043979595,1.243960843547501,0.23658156059157065,0.1,0.0,0.7710429175005559,0.06385530038266723,4.9356490661142445,0.9838846636407288,165.75,94.16574483324602,0.8222259283967089,0.04061015797663666,6.172839078680932,1.765379977490295,0.05603600906289147,0.023631258474606048,1.1918921737696033,0.10923745864324817,0.6912249315590945,0.2005044472378209,0.5006672422105087,0.10202649474151433,0.039147865755131364,0.013484529954562726,0.1,0.0,0.8090082277073605,0.042012088463426626,5.271940135567608,1.03387612257559,187.5,108.38011810290668,0.8561440960640427,0.021612788208640113,6.4713720333590885,1.8214953440717978,0.04818492832320613,0.01610622427991056,0.0,0.0
NLS197,0.044482065719705526,0.012748870401816888,0.3348380119114257,0.036962793354102436,1.286157615480025,0.6203316639420361,1.997418922447622,0.05444157694395424,-0.0038798971702515565,0.00786183615868575,0.1,0.0,0.7107004669779853,0.07548587947520569,5.258028243062974,1.1450919936446389,84.0,45.0,0.788034245052257,0.021665554814320642,5.266787374361238,0.8806208522450194,0.059750595035260236,0.0210260931075665,0.23684072809692253,0.009038469909565264,1.5873097609373912,0.5964342574927642,1.9821243262018968,0.4299346705539131,-0.009164088278328614,0.00854491493294847,1.4098661338057386,0.10226180658114126,0.1,0.0,0.836849010451412,0.12243794823704875,11.515291334788003,3.7630544221628006,246.5,93.60689077199392,0.8974316210807205,0.08014874889567972,13.652807118979808,4.591950416486801,0.04104987121334984,0.026356915912676783,1.179982618435421,0.1614275988231907,0.5124900893742821,0.0949274452281979,0.6674925290611389,0.08794032004292825,0.07532069906305844,0.020498449224329023,0.1,0.0,0.8210229041583277,0.07826648040927583,12.900619863312967,5.9640984266977926,313.75,119.16663752913396,0.8867889704247276,0.050786652254268,14.842387176169309,6.44900159546122,0.07352112825264259,0.018969587583953038,0.0,0.0
NLS198,0.031774678761868666,0.020165834099822606,0.4022230547209615,0.15244009157279975,1.7523822323638503,0.3462522987824296,3.419555063688609,0.21228197507058044,-0.047992300246031475,0.005840925938334771,0.1,0.0,0.625790527018012,0.007262619524127156,3.3798257261676135,0.34675519559015755,104.0,72.0,0.507633978207694,0.12524127195908383,3.818699078759506,0.8995369955110508,0.04113370040454962,0.005548897266089189,0.26415063136852396,0.1671580733646692,1.8817980977022857,0.17784546960967196,3.5732753439354514,0.8414659091740313,-0.025383638683791405,0.004257751248241157,1.9306400131724026,0.6446396607406685,0.1,0.0,0.6870802757393818,0.05904538043855948,6.26334028790154,2.0368118452680295,202.0,32.07023542164915,0.7285835001111852,0.05922960202595745,7.75622056891744,1.9006884592858644,0.03281295557941807,0.010573517896479768,0.8028538264848804,0.3348406876040128,0.3743714807806897,0.16358125960701733,0.43495085396115873,0.21585284559567616,0.03921016384197512,0.027684925559532714,0.1,0.0,0.6943673560151211,0.051876231885986814,7.159637151984385,2.858869591887274,248.25,73.78473758169775,0.7593973760284634,0.048952206034592105,9.5479173387483,3.8797992717962284,0.044651759682167814,0.01692403341385825,0.0,0.0
NLS201,0.025623411595166404,,1.1227258830708144,,1.3022841146700324,,1.919959159468613,,-0.01722290683268787,,0.1,,0.6701089615299088,,2.9702334016716607,,30.0,,0.6738937069157216,,2.954913317342382,,0.039152684068321265,,0.6432775362906227,,1.5174806772476626,,0.39006407031294127,,-0.012265191447173385,,1.7453211401487283,,0.10000000000000002,1.3877787807814457e-17,0.7667689570824994,0.02893486687153852,4.620906543805738,1.0120084406950371,194.0,36.68787265568828,0.7871514342895263,0.04122540708109794,5.862434201561556,1.8969638576238084,0.06609109599211378,0.0057369315750651975,1.0214401807142748,0.030726463639141513,0.5576414541131102,0.17111462474407915,0.46379872660116467,0.14188486818168924,0.03440637888156433,0.015665604094150493,0.10000000000000002,1.3877787807814457e-17,0.8199985175302054,0.019080425455504483,4.892581308305294,0.6159641783413797,199.66666666666666,35.64952859280034,0.8401512119190572,0.024774245970753672,6.140292269477105,1.1164451031975735,0.07215481895748013,0.008230286815896064,0.0,0.0
